Grid_ID,Center_Lng,Center_Lat,Polygon,充电站_数量,住宅小区_数量,写字楼_数量,购物中心_数量,餐饮服务_数量,住宿服务_数量,医疗保健_数量,科教文化_数量,政府机构_数量,体育休闲_数量,交通枢纽_数量,停车场_数量
204,112.555,37.785,"112.550000,37.780000|112.560000,37.790000",10,11,37,0,164,53,35,36,33,18,0,127
205,112.555,37.795,"112.550000,37.790000|112.560000,37.800000",3,13,30,2,221,46,37,24,32,45,0,67
206,112.555,37.805,"112.550000,37.800000|112.560000,37.810000",10,32,27,0,255,62,38,49,43,60,0,141
207,112.555,37.815,"112.550000,37.810000|112.560000,37.820000",13,49,20,3,251,126,80,100,43,51,0,170
208,112.555,37.825,"112.550000,37.820000|112.560000,37.830000",3,69,14,7,349,84,114,62,75,109,0,145
209,112.555,37.835,"112.550000,37.830000|112.560000,37.840000",2,81,19,4,257,75,84,75,60,34,0,132
210,112.555,37.845,"112.550000,37.840000|112.560000,37.850000",1,81,26,1,139,21,87,88,99,25,0,96
211,112.555,37.855,"112.550000,37.850000|112.560000,37.860000",1,36,17,3,146,21,88,86,39,33,0,87
212,112.555,37.865,"112.550000,37.860000|112.560000,37.870000",9,75,23,3,285,50,66,68,148,34,0,159
213,112.555,37.875,"112.550000,37.870000|112.560000,37.880000",3,49,28,1,268,22,80,95,113,33,0,149
214,112.555,37.885,"112.550000,37.880000|112.560000,37.890000",0,36,3,1,166,15,83,66,32,45,0,63
215,112.555,37.895,"112.550000,37.890000|112.560000,37.900000",1,49,2,0,103,10,40,18,37,15,0,48
216,112.555,37.905,"112.550000,37.900000|112.560000,37.910000",0,3,2,0,20,4,12,7,10,2,0,8
217,112.555,37.915,"112.550000,37.910000|112.560000,37.920000",0,0,1,0,0,0,0,0,1,0,0,1
218,112.555,37.925,"112.550000,37.920000|112.560000,37.930000",1,4,3,0,53,6,15,1,8,3,0,16
219,112.555,37.935,"112.550000,37.930000|112.560000,37.940000",6,12,1,0,16,0,12,4,22,0,0,4
220,112.555,37.945,"112.550000,37.940000|112.560000,37.950000",0,1,0,0,0,0,0,2,3,0,0,5
221,112.565,37.755,"112.560000,37.750000|112.570000,37.760000",5,14,0,0,24,1,18,13,8,11,0,30
222,112.565,37.765,"112.560000,37.760000|112.570000,37.770000",2,6,1,0,58,2,24,40,12,12,0,14
223,112.565,37.775,"112.560000,37.770000|112.570000,37.780000",3,12,5,0,85,22,41,44,12,10,0,51
224,112.565,37.785,"112.560000,37.780000|112.570000,37.790000",7,9,26,3,144,64,32,33,8,53,0,78
225,112.565,37.795,"112.560000,37.790000|112.570000,37.800000",8,9,51,1,209,4,52,58,36,42,0,177
226,112.565,37.805,"112.560000,37.800000|112.570000,37.810000",7,22,29,0,174,35,68,46,31,23,0,142
227,112.565,37.815,"112.560000,37.810000|112.570000,37.820000",4,30,17,8,331,141,106,63,50,96,0,177
228,112.565,37.825,"112.560000,37.820000|112.570000,37.830000",9,54,31,8,450,122,87,106,37,284,0,162
229,112.565,37.835,"112.560000,37.830000|112.570000,37.840000",2,37,18,4,337,40,74,61,40,70,0,130
230,112.565,37.845,"112.560000,37.840000|112.570000,37.850000",3,42,9,3,191,29,54,78,68,44,0,66
231,112.565,37.855,"112.560000,37.850000|112.570000,37.860000",5,42,6,0,68,13,26,42,43,5,0,41
232,112.565,37.865,"112.560000,37.860000|112.570000,37.870000",0,47,34,15,450,143,65,71,101,246,0,144
233,112.565,37.875,"112.560000,37.870000|112.570000,37.880000",4,48,16,1,302,49,84,140,103,71,0,118
234,112.565,37.885,"112.560000,37.880000|112.570000,37.890000",3,54,13,6,297,31,117,67,73,64,0,97
235,112.565,37.895,"112.560000,37.890000|112.570000,37.900000",7,24,4,0,182,1,62,43,33,29,0,44
236,112.565,37.905,"112.560000,37.900000|112.570000,37.910000",2,16,4,2,38,9,20,15,19,13,0,34
237,112.565,37.915,"112.560000,37.910000|112.570000,37.920000",7,29,1,5,143,15,55,27,43,26,0,45
238,112.565,37.925,"112.560000,37.920000|112.570000,37.930000",5,22,0,0,33,1,24,10,25,4,1,25
239,112.565,37.935,"112.560000,37.930000|112.570000,37.940000",0,5,0,0,9,0,3,4,7,2,0,7
240,112.565,37.945,"112.560000,37.940000|112.570000,37.950000",2,1,0,0,2,0,0,1,1,1,0,2
241,112.575,37.755,"112.570000,37.750000|112.580000,37.760000",3,3,1,1,166,6,29,23,8,25,0,28
242,112.575,37.765,"112.570000,37.760000|112.580000,37.770000",0,0,0,0,24,2,0,7,6,4,0,5
243,112.575,37.775,"112.570000,37.770000|112.580000,37.780000",0,7,5,0,24,26,9,9,11,11,0,26
244,112.575,37.785,"112.570000,37.780000|112.580000,37.790000",9,29,6,1,340,52,99,80,11,89,0,94
245,112.575,37.795,"112.570000,37.790000|112.580000,37.800000",6,35,7,0,186,25,74,59,32,45,0,92
246,112.575,37.805,"112.570000,37.800000|112.580000,37.810000",8,34,3,1,140,15,59,59,20,19,0,45
247,112.575,37.815,"112.570000,37.810000|112.580000,37.820000",2,24,2,0,33,7,20,27,19,12,0,45
248,112.575,37.825,"112.570000,37.820000|112.580000,37.830000",3,51,20,0,292,34,105,47,27,69,0,122
249,112.575,37.835,"112.570000,37.830000|112.580000,37.840000",9,65,21,0,338,31,105,42,42,61,0,131
250,112.575,37.845,"112.570000,37.840000|112.580000,37.850000",2,50,10,1,154,44,97,49,31,29,0,86
251,112.575,37.855,"112.570000,37.850000|112.580000,37.860000",3,53,22,1,324,59,109,56,59,45,0,141
252,112.575,37.865,"112.570000,37.860000|112.580000,37.870000",4,41,14,6,308,50,82,73,71,74,0,109
253,112.575,37.875,"112.570000,37.870000|112.580000,37.880000",2,76,17,0,316,41,147,65,91,13,0,138
254,112.575,37.885,"112.570000,37.880000|112.580000,37.890000",5,40,5,0,120,26,48,25,63,30,0,55
255,112.575,37.895,"112.570000,37.890000|112.580000,37.900000",3,26,6,1,149,2,22,17,46,21,0,62
256,112.575,37.905,"112.570000,37.900000|112.580000,37.910000",7,18,1,0,48,2,21,10,9,4,0,16
257,112.575,37.915,"112.570000,37.910000|112.580000,37.920000",6,22,1,0,109,6,47,20,40,8,0,9
258,112.575,37.925,"112.570000,37.920000|112.580000,37.930000",7,14,0,1,29,3,6,9,11,4,0,9
259,112.575,37.935,"112.570000,37.930000|112.580000,37.940000",0,11,0,0,9,0,2,5,6,1,0,4
260,112.575,37.945,"112.570000,37.940000|112.580000,37.950000",1,1,0,0,16,0,3,3,6,1,0,2
261,112.585,37.755,"112.580000,37.750000|112.590000,37.760000",9,7,0,0,64,5,23,18,6,15,0,25
262,112.585,37.765,"112.580000,37.760000|112.590000,37.770000",2,1,0,0,40,7,4,18,2,6,0,4
263,112.585,37.775,"112.580000,37.770000|112.590000,37.780000",3,13,6,0,66,1,21,24,37,22,0,47
264,112.585,37.785,"112.580000,37.780000|112.590000,37.790000",5,12,4,0,268,58,37,36,15,28,0,57
265,112.585,37.795,"112.580000,37.790000|112.590000,37.800000",6,16,2,4,108,11,35,98,17,23,0,47
266,112.585,37.805,"112.580000,37.800000|112.590000,37.810000",0,27,7,1,133,30,40,119,44,26,0,59
267,112.585,37.815,"112.580000,37.810000|112.590000,37.820000",8,33,4,1,85,18,45,71,28,7,0,70
268,112.585,37.825,"112.580000,37.820000|112.590000,37.830000",9,47,13,2,141,43,70,26,39,28,0,97
269,112.585,37.835,"112.580000,37.830000|112.590000,37.840000",6,28,3,0,127,29,65,26,18,24,0,78
270,112.585,37.845,"112.580000,37.840000|112.590000,37.850000",2,41,6,1,50,43,69,9,15,5,0,48
271,112.585,37.855,"112.580000,37.850000|112.590000,37.860000",9,55,15,4,239,124,63,48,80,32,5,109
272,112.585,37.865,"112.580000,37.860000|112.590000,37.870000",4,44,4,0,127,110,51,44,70,21,30,72
273,112.585,37.875,"112.580000,37.870000|112.590000,37.880000",3,49,5,0,67,6,52,31,49,14,0,73
274,112.585,37.885,"112.580000,37.880000|112.590000,37.890000",4,40,7,1,132,10,41,20,38,11,1,72
275,112.585,37.895,"112.580000,37.890000|112.590000,37.900000",8,34,7,0,151,11,53,21,32,19,0,53
276,112.585,37.905,"112.580000,37.900000|112.590000,37.910000",3,11,1,0,93,6,35,15,12,17,0,19
277,112.585,37.915,"112.580000,37.910000|112.590000,37.920000",6,5,0,0,29,4,13,2,2,2,0,13
278,112.585,37.925,"112.580000,37.920000|112.590000,37.930000",0,2,0,0,4,0,0,1,1,1,0,2
279,112.585,37.935,"112.580000,37.930000|112.590000,37.940000",2,2,0,0,5,0,1,2,3,0,0,0
280,112.585,37.945,"112.580000,37.940000|112.590000,37.950000",0,1,0,0,1,0,1,3,6,0,0,0
281,112.595,37.755,"112.590000,37.750000|112.600000,37.760000",2,2,2,0,0,0,1,6,10,0,0,13
282,112.595,37.765,"112.590000,37.760000|112.600000,37.770000",1,5,0,0,30,8,5,4,7,5,0,7
283,112.595,37.775,"112.590000,37.770000|112.600000,37.780000",3,2,4,0,46,11,9,9,5,6,0,25
284,112.595,37.785,"112.590000,37.780000|112.600000,37.790000",5,20,1,0,170,2,53,31,21,15,0,42
285,112.595,37.795,"112.590000,37.790000|112.600000,37.800000",7,21,5,0,178,83,63,47,13,30,0,47
286,112.595,37.805,"112.590000,37.800000|112.600000,37.810000",19,18,4,1,326,179,24,28,20,33,0,54
287,112.595,37.815,"112.590000,37.810000|112.600000,37.820000",5,27,7,1,106,2,26,29,20,23,0,54
288,112.595,37.825,"112.590000,37.820000|112.600000,37.830000",2,24,0,0,33,1,26,10,9,4,0,22
289,112.595,37.835,"112.590000,37.830000|112.600000,37.840000",4,14,0,0,21,0,3,4,13,5,0,15
290,112.595,37.845,"112.590000,37.840000|112.600000,37.850000",0,8,3,0,24,4,4,6,11,8,0,26
291,112.595,37.855,"112.590000,37.850000|112.600000,37.860000",14,39,8,13,432,44,81,64,40,75,0,82
292,112.595,37.865,"112.590000,37.860000|112.600000,37.870000",0,31,1,0,144,3,35,22,18,18,0,42
293,112.595,37.875,"112.590000,37.870000|112.600000,37.880000",4,45,3,1,282,21,54,29,40,28,0,60
294,112.595,37.885,"112.590000,37.880000|112.600000,37.890000",0,42,6,2,115,1,56,22,18,22,0,51
295,112.595,37.895,"112.590000,37.890000|112.600000,37.900000",2,26,2,2,147,11,34,41,11,34,0,49
296,112.595,37.905,"112.590000,37.900000|112.600000,37.910000",2,11,1,0,78,1,24,63,3,8,0,13
297,112.595,37.915,"112.590000,37.910000|112.600000,37.920000",0,13,0,0,35,0,14,3,5,5,0,5
298,112.595,37.925,"112.590000,37.920000|112.600000,37.930000",1,5,0,0,7,1,2,5,4,2,0,2
299,112.595,37.935,"112.590000,37.930000|112.600000,37.940000",3,1,0,0,0,0,1,0,0,0,0,0
300,112.595,37.945,"112.590000,37.940000|112.600000,37.950000",0,1,0,0,0,0,0,0,0,0,0,0
301,112.605,37.755,"112.600000,37.750000|112.610000,37.760000",2,1,0,0,8,2,0,0,0,0,0,7
302,112.605,37.765,"112.600000,37.760000|112.610000,37.770000",6,2,0,0,4,1,0,2,3,0,0,10
303,112.605,37.775,"112.600000,37.770000|112.610000,37.780000",18,14,2,0,86,18,35,34,37,16,0,39
304,112.605,37.785,"112.600000,37.780000|112.610000,37.790000",12,22,9,1,195,23,36,24,30,36,2,46
305,112.605,37.795,"112.600000,37.790000|112.610000,37.800000",1,10,10,1,48,5,20,22,3,15,18,20
306,112.605,37.805,"112.600000,37.800000|112.610000,37.810000",4,19,11,2,190,79,70,58,25,47,0,62
307,112.605,37.815,"112.600000,37.810000|112.610000,37.820000",2,27,8,0,127,22,30,50,13,26,0,40
308,112.605,37.825,"112.600000,37.820000|112.610000,37.830000",2,3,1,0,0,0,2,10,15,1,0,16
309,112.605,37.835,"112.600000,37.830000|112.610000,37.840000",3,13,0,0,8,1,6,6,18,0,0,16
310,112.605,37.845,"112.600000,37.840000|112.610000,37.850000",4,13,1,1,75,5,25,7,5,7,0,24
311,112.605,37.855,"112.600000,37.850000|112.610000,37.860000",4,24,2,1,110,18,47,20,24,18,0,38
312,112.605,37.865,"112.600000,37.860000|112.610000,37.870000",0,30,4,1,155,12,46,32,25,36,0,44
313,112.605,37.875,"112.600000,37.870000|112.610000,37.880000",5,18,4,1,44,9,32,18,7,8,0,43
314,112.605,37.885,"112.600000,37.880000|112.610000,37.890000",10,37,1,1,158,95,73,22,17,27,0,40
315,112.605,37.895,"112.600000,37.890000|112.610000,37.900000",6,20,1,0,62,1,30,37,12,17,0,18
316,112.605,37.905,"112.600000,37.900000|112.610000,37.910000",1,9,0,0,47,21,29,20,4,17,0,6
317,112.605,37.915,"112.600000,37.910000|112.610000,37.920000",0,1,0,0,0,0,0,1,0,0,0,0
318,112.605,37.925,"112.600000,37.920000|112.610000,37.930000",3,1,0,0,10,0,0,0,4,0,0,8
319,112.605,37.935,"112.600000,37.930000|112.610000,37.940000",0,0,0,0,1,0,1,2,9,1,0,0
320,112.605,37.945,"112.600000,37.940000|112.610000,37.950000",0,2,4,0,0,1,1,0,2,2,0,0
321,112.615,37.755,"112.610000,37.750000|112.620000,37.760000",5,6,1,0,56,23,15,4,9,9,0,10
322,112.615,37.765,"112.610000,37.760000|112.620000,37.770000",2,2,0,0,6,1,1,1,0,1,0,3
323,112.615,37.775,"112.610000,37.770000|112.620000,37.780000",1,9,0,0,13,2,6,6,7,5,0,11
324,112.615,37.785,"112.610000,37.780000|112.620000,37.790000",5,5,7,0,12,8,4,9,4,4,0,28
325,112.615,37.795,"112.610000,37.790000|112.620000,37.800000",1,10,1,1,65,107,23,15,19,15,36,30
326,112.615,37.805,"112.610000,37.800000|112.620000,37.810000",3,8,0,0,62,8,23,18,7,15,0,7
327,112.615,37.815,"112.610000,37.810000|112.620000,37.820000",5,13,3,0,58,7,17,14,4,14,0,16
328,112.615,37.825,"112.610000,37.820000|112.620000,37.830000",1,5,0,0,7,5,9,5,5,4,0,14
329,112.615,37.835,"112.610000,37.830000|112.620000,37.840000",3,1,0,0,0,0,0,2,2,0,0,3
330,112.615,37.845,"112.610000,37.840000|112.620000,37.850000",0,10,1,0,31,1,15,18,7,4,0,12
331,112.615,37.855,"112.610000,37.850000|112.620000,37.860000",6,13,2,0,68,20,15,15,12,10,0,32
332,112.615,37.865,"112.610000,37.860000|112.620000,37.870000",11,27,10,0,182,13,35,26,32,21,0,88
333,112.615,37.875,"112.610000,37.870000|112.620000,37.880000",0,9,0,1,25,0,12,11,10,5,0,10
334,112.615,37.885,"112.610000,37.880000|112.620000,37.890000",0,11,2,0,44,3,16,12,8,5,0,7
335,112.615,37.895,"112.610000,37.890000|112.620000,37.900000",0,1,0,0,3,0,0,1,5,0,0,2
336,112.615,37.905,"112.610000,37.900000|112.620000,37.910000",0,0,0,0,0,0,0,0,4,1,0,1
338,112.615,37.925,"112.610000,37.920000|112.620000,37.930000",1,0,0,0,0,0,0,1,7,3,0,0
339,112.615,37.935,"112.610000,37.930000|112.620000,37.940000",0,0,0,0,0,0,0,0,0,2,0,0
340,112.615,37.945,"112.610000,37.940000|112.620000,37.950000",1,1,0,0,1,0,1,0,3,2,0,0
341,112.625,37.755,"112.620000,37.750000|112.630000,37.760000",0,0,0,0,0,0,0,0,2,0,0,0
342,112.625,37.765,"112.620000,37.760000|112.630000,37.770000",0,1,0,0,8,28,2,1,1,2,0,4
343,112.625,37.775,"112.620000,37.770000|112.630000,37.780000",3,5,0,0,14,3,3,5,7,4,0,35
344,112.625,37.785,"112.620000,37.780000|112.630000,37.790000",4,1,0,0,8,7,6,2,12,3,0,13
345,112.625,37.795,"112.620000,37.790000|112.630000,37.800000",3,8,0,0,22,11,7,10,2,5,0,9
346,112.625,37.805,"112.620000,37.800000|112.630000,37.810000",4,12,0,1,96,11,42,39,15,15,0,20
347,112.625,37.815,"112.620000,37.810000|112.630000,37.820000",8,6,1,0,55,2,6,10,5,1,0,26
348,112.625,37.825,"112.620000,37.820000|112.630000,37.830000",1,7,0,0,3,0,0,5,8,0,0,2
349,112.625,37.835,"112.620000,37.830000|112.630000,37.840000",6,10,0,0,48,0,16,9,4,14,0,6
350,112.625,37.845,"112.620000,37.840000|112.630000,37.850000",0,4,0,0,6,0,1,1,6,3,0,7
351,112.625,37.855,"112.620000,37.850000|112.630000,37.860000",2,18,0,0,50,0,19,6,7,7,0,15
352,112.625,37.865,"112.620000,37.860000|112.630000,37.870000",2,6,4,0,49,2,13,16,13,7,0,16
353,112.625,37.875,"112.620000,37.870000|112.630000,37.880000",0,17,1,1,38,5,22,17,9,10,0,20
354,112.625,37.885,"112.620000,37.880000|112.630000,37.890000",0,7,0,0,20,3,5,1,4,1,0,3
355,112.625,37.895,"112.620000,37.890000|112.630000,37.900000",0,0,0,0,0,0,0,0,4,3,0,3
356,112.625,37.905,"112.620000,37.900000|112.630000,37.910000",0,0,0,0,0,0,0,0,0,1,0,0
357,112.625,37.915,"112.620000,37.910000|112.630000,37.920000",0,0,0,0,3,0,0,3,4,1,0,0
358,112.625,37.925,"112.620000,37.920000|112.630000,37.930000",0,0,0,0,1,0,0,0,1,2,0,2
359,112.625,37.935,"112.620000,37.930000|112.630000,37.940000",0,0,0,0,0,0,0,0,2,5,0,2
360,112.625,37.945,"112.620000,37.940000|112.630000,37.950000",1,1,0,0,3,0,0,1,1,5,0,4
361,112.635,37.755,"112.630000,37.750000|112.640000,37.760000",1,2,3,0,16,1,1,2,7,0,1,4
362,112.635,37.765,"112.630000,37.760000|112.640000,37.770000",8,4,2,0,44,68,6,1,20,1,0,7
363,112.635,37.775,"112.630000,37.770000|112.640000,37.780000",0,3,0,0,9,1,3,0,6,1,0,8
364,112.635,37.785,"112.630000,37.780000|112.640000,37.790000",0,4,0,0,33,4,17,9,4,4,0,4
365,112.635,37.795,"112.630000,37.790000|112.640000,37.800000",0,2,0,0,0,0,0,0,8,0,0,1
366,112.635,37.805,"112.630000,37.800000|112.640000,37.810000",0,3,0,0,4,5,1,7,5,1,0,6
367,112.635,37.815,"112.630000,37.810000|112.640000,37.820000",0,10,0,0,54,3,4,5,4,4,0,11
368,112.635,37.825,"112.630000,37.820000|112.640000,37.830000",0,4,0,0,6,1,9,5,6,2,0,5
369,112.635,37.835,"112.630000,37.830000|112.640000,37.840000",1,0,0,0,1,0,0,4,5,1,0,3
370,112.635,37.845,"112.630000,37.840000|112.640000,37.850000",1,0,0,0,0,0,0,2,0,2,0,1
371,112.635,37.855,"112.630000,37.850000|112.640000,37.860000",1,3,0,0,8,1,3,3,2,5,0,0
372,112.635,37.865,"112.630000,37.860000|112.640000,37.870000",0,0,0,0,2,2,0,1,1,3,0,0
373,112.635,37.875,"112.630000,37.870000|112.640000,37.880000",0,5,1,0,6,1,2,2,8,0,0,11
375,112.635,37.895,"112.630000,37.890000|112.640000,37.900000",0,0,0,0,0,0,0,0,1,1,0,1
377,112.635,37.915,"112.630000,37.910000|112.640000,37.920000",0,0,0,0,0,0,0,0,6,0,0,2
378,112.635,37.925,"112.630000,37.920000|112.640000,37.930000",0,0,0,0,0,0,0,0,5,1,0,0
379,112.635,37.935,"112.630000,37.930000|112.640000,37.940000",0,0,0,0,0,0,0,0,0,1,0,0
380,112.635,37.945,"112.630000,37.940000|112.640000,37.950000",0,0,0,0,1,1,1,2,5,0,0,1
381,112.645,37.755,"112.640000,37.750000|112.650000,37.760000",0,3,0,0,7,1,0,2,0,0,0,0
382,112.645,37.765,"112.640000,37.760000|112.650000,37.770000",0,5,1,0,20,0,8,2,5,1,0,4
383,112.645,37.775,"112.640000,37.770000|112.650000,37.780000",0,1,0,0,14,0,0,8,5,1,0,2
384,112.645,37.785,"112.640000,37.780000|112.650000,37.790000",0,0,0,0,0,0,0,1,0,0,0,0
385,112.645,37.795,"112.640000,37.790000|112.650000,37.800000",5,1,0,0,9,2,0,1,3,2,0,3
386,112.645,37.805,"112.640000,37.800000|112.650000,37.810000",0,4,0,0,12,4,2,26,3,6,0,7
387,112.645,37.815,"112.640000,37.810000|112.650000,37.820000",0,0,0,0,0,0,0,2,3,1,0,6
388,112.645,37.825,"112.640000,37.820000|112.650000,37.830000",2,4,0,0,21,1,14,9,3,6,0,12
390,112.645,37.845,"112.640000,37.840000|112.650000,37.850000",0,0,0,0,0,0,0,0,0,0,0,6
391,112.645,37.855,"112.640000,37.850000|112.650000,37.860000",0,1,0,0,3,0,0,0,3,0,0,0
393,112.645,37.875,"112.640000,37.870000|112.650000,37.880000",0,1,0,0,4,0,0,3,0,1,0,4
394,112.645,37.885,"112.640000,37.880000|112.650000,37.890000",0,0,0,0,2,0,0,1,2,0,0,0
396,112.645,37.905,"112.640000,37.900000|112.650000,37.910000",0,0,0,0,0,0,0,0,2,0,0,0
398,112.645,37.925,"112.640000,37.920000|112.650000,37.930000",0,0,0,0,0,0,0,0,1,2,0,0
